,mineral_count,vispen_count,scv_count,reward
504,1445.0,112.0,15.0,
505,3065.0,0.0,15.0,
506,2575.0,160.0,15.0,
507,1010.0,324.0,15.0,
508,410.0,448.0,15.0,
509,30.0,232.0,15.0,
510,465.0,240.0,18.0,
511,995.0,212.0,16.0,
512,2255.0,40.0,17.0,
513,1220.0,376.0,14.0,
514,1970.0,560.0,15.0,
515,1445.0,624.0,15.0,
516,1380.0,32.0,15.0,
517,115.0,556.0,13.0,
518,370.0,356.0,15.0,
519,1890.0,160.0,13.0,
520,995.0,568.0,13.0,
521,2440.0,0.0,17.0,
522,1940.0,212.0,14.0,
523,2545.0,0.0,17.0,
524,2170.0,228.0,15.0,
525,1395.0,352.0,13.0,
526,660.0,568.0,12.0,
527,1130.0,232.0,14.0,
528,635.0,472.0,15.0,
529,210.0,336.0,15.0,
530,60.0,260.0,14.0,
531,190.0,316.0,16.0,
532,1760.0,188.0,15.0,
533,1140.0,376.0,14.0,
534,540.0,288.0,15.0,
535,2415.0,52.0,17.0,
536,1230.0,600.0,18.0,
537,695.0,508.0,17.0,
538,30.0,120.0,13.0,
539,845.0,532.0,16.0,
540,1605.0,228.0,15.0,
541,1040.0,200.0,14.0,
542,1345.0,200.0,16.0,
543,1385.0,548.0,13.0,
544,95.0,204.0,15.0,
545,830.0,292.0,14.0,
546,480.0,620.0,12.0,
547,290.0,484.0,12.0,
548,965.0,488.0,12.0,
549,1170.0,144.0,15.0,
550,1455.0,448.0,17.0,
551,985.0,492.0,15.0,
552,570.0,420.0,15.0,
553,635.0,412.0,16.0,
554,520.0,316.0,14.0,
555,455.0,460.0,14.0,
556,105.0,348.0,14.0,
557,260.0,308.0,15.0,
558,50.0,168.0,14.0,
559,435.0,148.0,15.0,
560,1080.0,256.0,14.0,
561,575.0,420.0,15.0,
562,1890.0,124.0,15.0,
563,2080.0,244.0,15.0,
564,1035.0,324.0,18.0,
565,1910.0,80.0,15.0,
566,1570.0,248.0,14.0,
567,140.0,20.0,13.0,
568,980.0,312.0,13.0,
569,1395.0,360.0,15.0,
570,1420.0,248.0,14.0,
571,1090.0,436.0,16.0,
572,995.0,464.0,15.0,
573,1265.0,368.0,15.0,
574,2500.0,0.0,15.0,
575,1580.0,56.0,17.0,
576,1550.0,0.0,17.0,
577,2425.0,0.0,14.0,
578,1735.0,156.0,16.0,
579,910.0,252.0,12.0,
580,835.0,580.0,14.0,
581,1255.0,376.0,12.0,
582,910.0,600.0,12.0,
583,1695.0,152.0,15.0,
584,2300.0,40.0,15.0,
585,1005.0,436.0,12.0,
586,5.0,384.0,12.0,
587,290.0,104.0,14.0,
588,580.0,172.0,14.0,
589,1910.0,96.0,14.0,
590,1690.0,48.0,15.0,
591,1030.0,544.0,14.0,
592,1315.0,316.0,13.0,
593,1040.0,312.0,21.0,
594,795.0,428.0,16.0,
595,800.0,96.0,14.0,
596,1290.0,236.0,17.0,
597,1300.0,176.0,16.0,
598,425.0,352.0,15.0,
599,930.0,236.0,15.0,
600,1410.0,204.0,18.0,
601,1070.0,260.0,13.0,
602,890.0,196.0,15.0,
603,415.0,172.0,13.0,
604,2525.0,0.0,15.0,
605,1735.0,404.0,15.0,
606,680.0,464.0,13.0,
607,720.0,236.0,12.0,
608,115.0,424.0,15.0,
609,370.0,120.0,14.0,
610,1650.0,176.0,14.0,
611,1620.0,336.0,15.0,
612,1895.0,132.0,16.0,
613,1430.0,168.0,16.0,
614,1500.0,284.0,15.0,
615,1820.0,200.0,15.0,
616,775.0,484.0,15.0,
617,545.0,384.0,16.0,
618,865.0,544.0,16.0,
619,535.0,452.0,15.0,
620,120.0,356.0,15.0,
621,970.0,160.0,14.0,
622,1290.0,568.0,16.0,
623,1185.0,548.0,15.0,
624,2140.0,144.0,18.0,
625,625.0,372.0,13.0,
626,1375.0,328.0,15.0,
627,2050.0,228.0,15.0,
628,2690.0,0.0,19.0,
629,2385.0,128.0,15.0,
630,1370.0,100.0,18.0,
631,1795.0,324.0,15.0,
632,1765.0,136.0,18.0,
633,235.0,392.0,15.0,
634,40.0,192.0,13.0,
635,1230.0,112.0,15.0,
636,205.0,428.0,15.0,
637,1120.0,336.0,14.0,
638,2560.0,20.0,15.0,
639,1040.0,392.0,18.0,
640,1390.0,0.0,18.0,
641,1210.0,320.0,15.0,
642,1110.0,456.0,13.0,
643,940.0,332.0,15.0,
644,2360.0,20.0,15.0,
645,10.0,460.0,14.0,
646,90.0,164.0,15.0,
647,60.0,120.0,15.0,
648,2255.0,0.0,15.0,
649,1715.0,304.0,17.0,
650,1945.0,232.0,15.0,
651,1730.0,228.0,16.0,
652,1170.0,648.0,14.0,
653,1300.0,576.0,12.0,
654,930.0,216.0,12.0,
655,500.0,348.0,12.0,
656,65.0,408.0,13.0,
657,65.0,200.0,15.0,
658,760.0,228.0,15.0,
659,950.0,396.0,16.0,
660,1655.0,0.0,18.0,
661,1685.0,40.0,17.0,
662,1105.0,464.0,19.0,
663,600.0,480.0,15.0,
664,505.0,176.0,15.0,
665,1635.0,84.0,15.0,
666,70.0,444.0,14.0,
667,495.0,324.0,14.0,
668,575.0,232.0,15.0,
669,1575.0,80.0,15.0,
670,750.0,640.0,16.0,
671,565.0,128.0,13.0,
672,1900.0,244.0,15.0,
673,560.0,400.0,15.0,
674,710.0,144.0,16.0,
675,255.0,388.0,15.0,
676,330.0,368.0,15.0,
677,80.0,360.0,15.0,
678,800.0,264.0,16.0,
679,605.0,236.0,14.0,
680,660.0,208.0,15.0,
681,1550.0,316.0,19.0,
682,2410.0,0.0,19.0,
683,1185.0,436.0,16.0,
684,75.0,264.0,15.0,
685,95.0,408.0,15.0,
686,655.0,0.0,15.0,
687,2215.0,240.0,14.0,
688,2475.0,0.0,15.0,
689,2260.0,144.0,19.0,
690,2505.0,0.0,15.0,
691,2215.0,220.0,16.0,
692,1595.0,0.0,14.0,
693,1190.0,388.0,15.0,
694,1030.0,384.0,14.0,
695,5.0,228.0,15.0,
696,610.0,352.0,16.0,
697,450.0,232.0,15.0,
698,1265.0,184.0,16.0,
699,455.0,360.0,13.0,
700,50.0,44.0,15.0,
701,570.0,668.0,15.0,
702,45.0,0.0,14.0,
703,315.0,352.0,15.0,
704,55.0,200.0,14.0,
705,785.0,228.0,14.0,
706,610.0,448.0,12.0,
707,2060.0,92.0,15.0,
708,1415.0,196.0,17.0,
709,760.0,452.0,15.0,
710,50.0,280.0,15.0,
711,70.0,160.0,14.0,
712,1105.0,84.0,15.0,
713,485.0,540.0,15.0,
714,440.0,148.0,15.0,
715,1055.0,316.0,16.0,
716,1250.0,292.0,15.0,
717,915.0,456.0,15.0,
718,1245.0,184.0,16.0,
719,300.0,568.0,15.0,
720,545.0,132.0,15.0,
721,1970.0,12.0,18.0,
722,1615.0,312.0,15.0,
723,2380.0,0.0,17.0,
724,2925.0,0.0,15.0,
725,3105.0,244.0,15.0,
726,2110.0,144.0,17.0,
727,2335.0,156.0,14.0,
728,2815.0,152.0,15.0,
729,1075.0,264.0,12.0,
730,1890.0,0.0,15.0,
731,1410.0,324.0,15.0,
732,1640.0,0.0,16.0,
733,1465.0,216.0,14.0,
734,1285.0,132.0,13.0,
735,1145.0,0.0,15.0,
